"Date","series ","Open","High","Low","PREV. CLOSE ","ltp ","Close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Oct-2025","EQ",1374.00,1380.00,1369.10,1367.40,1376.50,1377.80,1376.25,2802.00,1114.85,"88,26,633","12,14,76,69,213.50","2,17,890"
"08-Oct-2025","EQ",1384.80,1389.00,1364.50,1384.80,1367.30,1367.40,1371.62,2802.00,1114.85,"85,25,081","11,69,32,12,975.10","2,14,245"
"07-Oct-2025","EQ",1376.00,1395.90,1375.90,1375.00,1384.50,1384.80,1386.79,2802.00,1114.85,"1,12,44,040","15,59,31,76,402.20","1,96,055"
"06-Oct-2025","EQ",1360.00,1377.40,1359.00,1363.40,1374.90,1375.00,1367.85,2802.00,1114.85,"1,23,96,580","16,95,66,55,218.30","1,84,550"
"03-Oct-2025","EQ",1363.20,1371.60,1356.90,1368.70,1363.30,1363.40,1362.13,3049.95,1114.85,"1,28,42,347","17,49,29,14,973.80","2,16,161"
"01-Oct-2025","EQ",1367.00,1378.60,1362.70,1364.00,1370.00,1368.70,1369.56,3049.95,1114.85,"1,20,45,916","16,49,76,35,567.10","2,58,017"
"30-Sep-2025","EQ",1377.10,1377.10,1362.80,1372.80,1364.00,1364.00,1366.52,3049.95,1114.85,"1,46,04,684","19,95,75,82,304.90","2,23,375"
"29-Sep-2025","EQ",1381.60,1389.00,1368.00,1377.60,1376.00,1372.80,1375.78,3049.95,1114.85,"1,42,31,999","19,58,01,10,793.70","2,13,268"
"26-Sep-2025","EQ",1372.00,1382.70,1366.00,1372.40,1379.00,1377.60,1376.37,3066.95,1114.85,"98,79,109","13,59,73,42,647.00","1,48,644"
"25-Sep-2025","EQ",1381.30,1384.50,1369.00,1383.00,1374.80,1372.40,1375.53,3066.95,1114.85,"1,14,11,143","15,69,63,73,894.00","1,55,102"
"24-Sep-2025","EQ",1385.30,1396.00,1380.40,1389.80,1381.10,1383.00,1387.32,3066.95,1114.85,"59,22,759","8,21,67,78,017.50","1,20,399"
"23-Sep-2025","EQ",1391.00,1395.00,1376.80,1390.60,1390.50,1389.80,1387.57,3066.95,1114.85,"1,40,14,702","19,44,63,55,038.70","2,10,931"
"22-Sep-2025","EQ",1403.90,1410.70,1388.00,1407.40,1390.90,1390.60,1400.91,3066.95,1114.85,"77,57,970","10,86,82,28,760.60","1,36,991"
"19-Sep-2025","EQ",1414.90,1417.00,1403.60,1415.00,1407.60,1407.40,1408.43,3066.95,1114.85,"1,34,61,373","18,95,93,42,246.10","1,43,644"
"18-Sep-2025","EQ",1420.40,1422.00,1410.70,1413.80,1415.00,1415.00,1415.31,3066.95,1114.85,"93,32,642","13,20,85,89,778.10","1,82,559"
"17-Sep-2025","EQ",1407.00,1416.20,1406.90,1405.30,1413.00,1413.80,1412.05,3066.95,1114.85,"75,19,417","10,61,78,06,261.00","1,89,638"
"16-Sep-2025","EQ",1404.70,1408.00,1398.20,1399.30,1405.90,1405.30,1404.00,3066.95,1114.85,"86,86,961","12,19,64,51,860.10","1,70,452"
