Pair,Asset A,Asset B,Beta,ADF Stat,Half Life,Hurst,Zero Cross,Correlation
TMCV-ACC,TMCV,ACC,-0.5739070960697873,-3.6838036207635394,18.112632289358814,0.2649313054061761,51,-0.829761977487629
ACC-TATASTEEL,ACC,TATASTEEL,2.809783958420455,-2.3491828788485973,54.802472916212416,0.29545399623865004,40,0.5189489715587022
ACC-JSWSTEEL,ACC,JSWSTEEL,0.8231467759642076,-4.388734761004988,18.25419057196922,0.2981821042000308,32,0.8057593719323323
ACC-POWERGRID,ACC,POWERGRID,2.3407935200953696,-3.145471781571897,36.053780710417726,0.3037990245634289,16,0.6725365747866244
ACC-NTPC,ACC,NTPC,2.6146514690761915,-2.90246251467157,41.20875117500463,0.3087964490694326,32,0.5816193343257643
ACC-TATAPOWER,ACC,TATAPOWER,2.7087115877588874,-3.5784030859424494,27.141231111108397,0.31463629502588164,48,0.7300559938459096
TMCV-ASHOKLEY,TMCV,ASHOKLEY,2.947015942853491,-4.219033525086994,13.280325142024184,0.3149146211036798,26,0.9362891131231578
ACC-BPCL,ACC,BPCL,-0.34395218027698415,-1.9681752683280094,75.22514083916977,0.31495484104865035,28,-0.13081008728898452
ACC-INDUSINDBK,ACC,INDUSINDBK,-0.23114014105113465,-1.9794639043338447,74.0059121157341,0.3244904268233793,20,-0.2180773895521958
ACC-ADANIPOWER,ACC,ADANIPOWER,2.437422062327999,-2.95740375021549,40.47307901886196,0.3257915144640476,22,0.5854622384044136
ACC-WIPRO,ACC,WIPRO,-3.3928287062929305,-4.146835961242938,21.20080471527561,0.32713432803299514,32,-0.7742178144852269
ACC-SBIN,ACC,SBIN,-0.25710501862249296,-2.018391925267988,73.51002607464682,0.33134178344981147,28,-0.15769730528474696
ACC-SUNPHARMA,ACC,SUNPHARMA,-0.25353541140277625,-2.074143460043009,66.90828288751096,0.3328757675826682,30,-0.3425221364712508
ACC-JSWENERGY,ACC,JSWENERGY,0.7515872586168871,-2.7577993013345155,42.7987387982979,0.33390571910450545,40,0.6335512703054026
ACC-BAJAJFINSV,ACC,BAJAJFINSV,0.26209600234685354,-2.1855866227864356,63.159014048487414,0.3345527435800429,36,0.32054024971792583
ACC-MARICO,ACC,MARICO,-0.7282340863174295,-2.09965407089842,67.4313241883132,0.33487398874382357,20,-0.25630024448071265
ACC-KOTAKBANK,ACC,KOTAKBANK,-0.3886438346936987,-2.5152968520562524,51.34707959864053,0.3351214687289841,25,-0.45805318499129505
ACC-JINDALSTEL,ACC,JINDALSTEL,0.7581882810291365,-3.2840504288202332,32.13948930775066,0.33524509046666456,25,0.664128061253421
ACC-SHRIRAMFIN,ACC,SHRIRAMFIN,-0.3010588341456564,-2.545707571081616,51.75596371058597,0.33528938097978306,18,-0.4294304284158524
ACC-SBICARD,ACC,SBICARD,0.7307504727942714,-2.798247732186024,43.91301035202116,0.3391820268745715,26,0.4593927668611638
ACC-HCLTECH,ACC,HCLTECH,-0.3466585066689083,-2.8418142189903937,41.69572525336672,0.3411264378505149,32,-0.5777898814980127
ACC-AMBUJACEM,ACC,AMBUJACEM,1.7141143758356672,-2.603130215502375,48.45785762662971,0.3413763010365621,54,0.6040293376960886
ACC-BAJFINANCE,ACC,BAJFINANCE,0.4363742596807331,-2.2583596276330407,60.961320016401906,0.34138880286719814,16,0.3538517020903976
ACC-RELIANCE,ACC,RELIANCE,-0.33327388847386524,-2.2328805244314034,63.59717013532317,0.3469595574252802,28,-0.31095787072837944
ACC-DRREDDY,ACC,DRREDDY,-0.504677811610573,-2.3580237995368005,56.8769465585022,0.3497346995008462,19,-0.42827401772574486
ACC-NESTLEIND,ACC,NESTLEIND,1.2127929810794913,-3.9666063726480294,21.845785819119808,0.35668816474455656,62,0.7382952919119756
TECHM-ACC,TECHM,ACC,-1.2716151944404854,-2.7808709240464515,47.72017092135167,0.35741417585199836,39,-0.6949675168612579
ACC-HINDUNILVR,ACC,HINDUNILVR,0.3059942386196954,-4.102927978652724,23.2760803803841,0.3607617693198377,40,0.746492568669886
ACC-ASHOKLEY,ACC,ASHOKLEY,-2.3382859369145077,-3.4463770596495693,31.030439555074047,0.36501693073885183,22,-0.6799691562003877
TMCV-DRREDDY,TMCV,DRREDDY,1.231266732922486,-3.1517442036409515,23.57869766746558,0.3725316094729996,32,0.7892339057045354
ACC-VEDL,ACC,VEDL,-0.9982753036284391,-3.387819435427984,33.530068229168414,0.37392756242878716,22,-0.5962029083394491
NTPC-TATAPOWER,NTPC,TATAPOWER,0.7320164616459235,-3.4163999514570174,35.13789869047267,0.37519453966761657,64,0.8869297526674556
TMCV-DABUR,TMCV,DABUR,-2.2623057440607512,-4.466211410348516,12.739077991036813,0.3765720752462422,63,-0.8987602643537649
TMCV-TATACONSUM,TMCV,TATACONSUM,-0.5100621768553107,-1.1020592868422288,151.64905524682288,0.3769299687982419,19,-0.27737016598377984
ACC-INFY,ACC,INFY,-0.48083373278480573,-3.511740192406221,30.336001552573943,0.3775725934946073,30,-0.6571084204888521
ACC-TCS,ACC,TCS,-0.28011638150937945,-3.3042131756609288,33.957101786121385,0.3789325567391297,36,-0.6296610588288432
TMCV-WIPRO,TMCV,WIPRO,3.3355304972466144,-3.830697212756049,16.543339059047394,0.380313697486864,49,0.9186750357519561
NTPC-POWERGRID,NTPC,POWERGRID,0.7231415428220064,-3.862988057763916,24.025409566385502,0.3808216535494161,47,0.9340090484233913
ACC-LUPIN,ACC,LUPIN,-0.3171019385260052,-2.8931801997354976,41.71698613868272,0.38301441184195156,22,-0.546513404212341
TMCV-VEDL,TMCV,VEDL,1.047727113457566,-2.936679974941157,35.4568028501217,0.38332504853037513,32,0.7838612684199356
SBICARD-HDFCBANK,SBICARD,HDFCBANK,1.2815917252618296,-3.2675735712276253,37.228112490332784,0.3842177289511363,25,0.5202039406342077
TMCV-MARICO,TMCV,MARICO,-0.36963955010962113,-1.1959865497858884,165.35419973318722,0.38550304643161165,15,-0.1876337897420753
ACC-DABUR,ACC,DABUR,1.5099324062420045,-2.5385564512853014,50.58818994897925,0.3861388321655339,36,0.43215392837261835
ADANIPOWER-NESTLEIND,ADANIPOWER,NESTLEIND,0.3004765955370385,-3.0095682233146364,44.205388620236114,0.38667354953379973,41,0.7615280821519984
DIVISLAB-DRREDDY,DIVISLAB,DRREDDY,-3.2259562945119966,-3.417684311218435,30.835364135408604,0.38696012310328287,62,-0.6736210428816606
ADANIPOWER-SAIL,ADANIPOWER,SAIL,0.36617907119559734,-2.4116169032989467,139.94998807414208,0.3870204973423965,25,0.22138998285278105
TMCV-SHRIRAMFIN,TMCV,SHRIRAMFIN,1.0427249815601596,-2.452919042105893,39.31925671394976,0.3915570247097098,37,0.702430078129928
CIPLA-SBICARD,CIPLA,SBICARD,1.4129472122481892,-4.315536678368719,18.844253289428668,0.39263042831350503,59,0.8681909692609072
ADANIPOWER-SBICARD,ADANIPOWER,SBICARD,0.31096548719634604,-3.297584547577673,32.717205153417225,0.3928459631308572,29,0.8138775855177699
JSWSTEEL-NESTLEIND,JSWSTEEL,NESTLEIND,1.015426546937786,-2.306586541612121,61.332959799715525,0.3937323671631907,44,0.6314861840333902
TMCV-NESTLEIND,TMCV,NESTLEIND,-0.9262084542678996,-2.851487006413828,28.273050041808066,0.3937656582470765,35,-0.8080564569768595
DIVISLAB-BAJAJ-AUTO,DIVISLAB,BAJAJ-AUTO,-0.5123357363835468,-3.0244627373821964,44.05129709364875,0.3977133205915793,50,-0.43718167428200144
NTPC-SBICARD,NTPC,SBICARD,0.29577335052398124,-3.7053206230618407,25.91104056715387,0.39851166766683305,76,0.8358898657790255
TMCV-SBIN,TMCV,SBIN,-0.6296352676635535,-1.0941092956811016,159.21159046484482,0.40036294743615986,15,-0.2704071784912153
HINDALCO-TMCV,HINDALCO,TMCV,0.7235651897144139,-3.6089303685639678,17.944780477145315,0.4003993207750059,32,0.8846259779896061
RELIANCE-SUNPHARMA,RELIANCE,SUNPHARMA,0.6344307928046065,-3.7019654318176154,22.35939137309994,0.4005506074774932,69,0.9186160029449792
TMCV-CIPLA,TMCV,CIPLA,-1.4461591214612446,-2.9154645254933262,27.148549938590442,0.4008765617192425,35,-0.6797469638785687
ITC-POWERGRID,ITC,POWERGRID,0.5782509194138276,-3.929180868179866,23.102623718927006,0.4020826361638454,61,0.9051901153962632
TATAPOWER-JSWSTEEL,TATAPOWER,JSWSTEEL,0.21807064866474432,-2.8255946975917134,47.07002553894866,0.4024520345152136,32,0.7920122415079494
